Rep	Year	RepSeason	x	y	Species	NInd	NInd_stage1	NJuvs
0	0	0	288	302	0	2	2	3
0	0	0	289	302	0	2	2	0
0	0	0	290	302	0	2	2	2
0	0	0	291	302	0	2	2	1
0	0	0	296	302	0	2	2	1
0	0	0	297	302	0	2	2	2
0	0	0	246	301	0	2	2	1
0	0	0	251	301	0	2	2	0
0	0	0	254	301	0	2	2	1
0	0	0	255	301	0	2	2	0
0	0	0	257	301	0	2	2	0
0	0	0	258	301	0	2	2	0
0	0	0	261	301	0	2	2	1
0	0	0	268	301	0	2	2	2
0	0	0	278	301	0	2	2	5
0	0	0	310	301	0	2	2	1
0	0	0	255	300	0	2	2	3
0	0	0	256	300	0	2	2	2
0	0	0	257	300	0	2	2	0
0	0	0	261	300	0	2	2	1
0	0	0	286	300	0	2	2	0
0	0	0	303	300	0	2	2	2
0	0	0	305	300	0	2	2	0
0	0	0	317	300	0	2	2	0
0	0	0	365	300	0	2	2	1
0	0	0	256	299	0	2	2	1
0	0	0	261	299	0	2	2	4
0	0	0	300	299	0	2	2	2
0	0	0	305	299	0	2	2	1
0	0	0	310	299	0	2	2	1
0	0	0	311	299	0	2	2	0
0	0	0	255	298	0	2	2	0
0	0	0	309	298	0	2	2	1
0	0	0	260	297	0	2	2	0
0	0	0	284	297	0	2	2	0
0	0	0	309	297	0	2	2	1
0	0	0	310	297	0	2	2	1
0	0	0	311	297	0	2	2	0
0	0	0	259	296	0	2	2	1
0	0	0	260	296	0	2	2	0
0	0	0	267	296	0	2	2	0
0	0	0	274	296	0	2	2	0
0	0	0	310	296	0	2	2	1
0	0	0	314	296	0	2	2	0
0	0	0	253	295	0	2	2	1
0	0	0	260	295	0	2	2	2
0	0	0	295	295	0	2	2	1
0	0	0	300	295	0	2	2	1
0	0	0	303	295	0	2	2	3
0	0	0	310	295	0	2	2	1
0	0	0	273	294	0	2	2	1
0	0	0	286	294	0	2	2	1
0	0	0	287	294	0	2	2	2
0	0	0	291	294	0	2	2	1
0	0	0	303	294	0	2	2	1
0	0	0	311	294	0	2	2	0
0	0	0	312	294	0	2	2	1
0	0	0	330	294	0	2	2	2
0	0	0	355	294	0	2	2	0
0	0	0	257	293	0	2	2	0
0	0	0	265	293	0	2	2	0
0	0	0	283	293	0	2	2	0
0	0	0	285	293	0	2	2	0
0	0	0	291	293	0	2	2	0
0	0	0	293	293	0	2	2	0
0	0	0	300	293	0	2	2	1
0	0	0	311	293	0	2	2	4
0	0	0	312	293	0	2	2	0
0	0	0	346	293	0	2	2	0
0	0	0	282	292	0	2	2	2
0	0	0	288	292	0	2	2	2
0	0	0	300	292	0	2	2	1
0	0	0	310	292	0	2	2	1
0	0	0	311	292	0	2	2	1
0	0	0	312	292	0	2	2	2
0	0	0	283	291	0	2	2	0
0	0	0	299	291	0	2	2	0
0	0	0	300	291	0	2	2	3
0	0	0	268	290	0	2	2	3
0	0	0	303	290	0	2	2	1
0	0	0	309	290	0	2	2	1
0	0	0	315	290	0	2	2	1
0	0	0	300	289	0	2	2	1
0	0	0	318	289	0	2	2	0
0	0	0	276	288	0	2	2	0
0	0	0	300	288	0	2	2	0
0	0	0	289	286	0	2	2	0
0	0	0	315	286	0	2	2	1
0	0	0	319	286	0	2	2	1
0	0	0	320	286	0	2	2	1
0	0	0	321	286	0	2	2	0
0	0	0	300	285	0	2	2	0
0	0	0	314	285	0	2	2	1
0	0	0	315	285	0	2	2	0
0	0	0	321	285	0	2	2	1
0	0	0	325	285	0	2	2	0
0	0	0	300	284	0	2	2	0
0	0	0	311	284	0	2	2	0
0	0	0	313	284	0	2	2	2
0	0	0	314	284	0	2	2	1
0	0	0	311	283	0	2	2	1
0	0	0	330	283	0	2	2	3
0	0	0	311	282	0	2	2	1
0	0	0	331	282	0	2	2	0
0	0	0	343	282	0	2	2	0
0	0	0	251	281	0	2	2	0
0	0	0	328	281	0	2	2	1
0	0	0	342	281	0	2	2	0
0	0	0	255	280	0	2	2	2
0	0	0	329	280	0	2	2	0
0	0	0	255	279	0	2	2	0
0	0	0	256	279	0	2	2	0
0	0	0	257	279	0	2	2	1
0	0	0	283	278	0	2	2	2
0	0	0	296	278	0	2	2	1
0	0	0	283	277	0	2	2	2
0	0	0	283	276	0	2	2	0
0	0	0	299	276	0	2	2	1
0	0	0	338	276	0	2	2	0
0	0	0	258	274	0	2	2	2
0	0	0	299	274	0	2	2	0
0	0	0	311	274	0	2	2	2
0	0	0	312	274	0	2	2	0
0	0	0	281	273	0	2	2	3
0	0	0	311	273	0	2	2	1
0	0	0	291	272	0	2	2	0
0	0	0	299	272	0	2	2	0
0	0	0	298	271	0	2	2	1
0	0	0	279	270	0	2	2	3
0	0	0	292	270	0	2	2	0
0	0	0	339	269	0	2	2	1
0	0	0	330	266	0	2	2	1
0	0	0	338	263	0	2	2	2
0	0	0	340	263	0	2	2	0
0	0	0	340	261	0	2	2	2
0	0	0	262	260	0	2	2	0
